,bins,completeness,contamination
1772,bin.2553,76.2450742240216,9.242105263157894
1789,bin.2604,90.07070707070707,4.0
1790,bin.2558,86.08640755379886,5.1489533011272135
1792,bin.2594,82.70701476793248,3.0063291139240507
1799,bin.2612,75.06609721374822,3.28579418344519
1804,bin.2581,85.75174825174825,2.3528554778554778
1806,bin.2610,88.03418803418803,5.439005439005439
1807,bin.2586,96.24746450304261,1.7932878480545822
1813,bin.26,81.3758389261745,3.467561521252797
1820,bin.2584,76.99339572547458,1.3580246913580245
1823,bin.2593,85.52009456264774,2.8368794326241136
1831,bin.2603,84.0205128205128,4.8
1832,bin.2633,83.14214135021096,4.483122362869198
1833,bin.2592,93.89360639360639,2.2144522144522147
1834,bin.2649,87.17171717171718,1.3333333333333333
1835,bin.2620,90.55298245614036,0.0
1842,bin.2640,85.67890442890442,0.6993006993006993
1845,bin.2654,92.60728086231443,1.342281879194631
1851,bin.2678,80.92619745845552,0.0
1852,bin.2679,89.7271268057785,1.1235955056179776
1854,bin.2645,73.39029697900665,2.2849462365591395
1856,bin.261,91.05145413870247,3.3557046979865772
1858,bin.2625,84.32961635470596,1.2191358024691357
1863,bin.2660,84.79729729729729,8.342837722633119
1866,bin.2698,70.17543859649123,7.017543859649122
1874,bin.2673,78.24384787472036,3.0475899938987188
1881,bin.2630,89.23168789808918,2.1231422505307855
1883,bin.2644,91.48550724637681,1.8719806763285025
1886,bin.2666,81.41778523489933,4.697986577181208
1895,bin.265,89.52532572097789,2.7411799150929586
1899,bin.2691,71.32719601074031,4.878691983122362
1901,bin.2643,79.32085112873703,1.342281879194631
1904,bin.2687,87.24832214765101,2.354077689648159
1905,bin.264,84.77348993288591,4.026845637583893
1906,bin.2686,89.3827295213153,2.305605786618445
1907,bin.2694,89.29324894514768,8.386075949367088
1910,bin.2726,71.72413793103448,0.0
1912,bin.2696,76.7063249949156,2.237136465324385
1913,bin.2701,81.61421911421913,5.594405594405594
1916,bin.2727,96.91011235955057,3.3707865168539324
1920,bin.2684,84.21985815602837,1.0638297872340425
1932,bin.2715,87.22222222222221,5.238095238095238
1934,bin.2745,70.2247191011236,2.247191011235955
1938,bin.2681,83.30835830835831,3.4965034965034967
1940,bin.2677,91.94630872483222,5.480984340044743
1942,bin.2743,81.13964686998396,2.247191011235955
1955,bin.2741,80.84388185654008,4.430379746835443
1956,bin.2770,72.59968102073366,0.0
1958,bin.2747,79.43548387096774,4.994797086368367
1965,bin.2756,93.82587582379466,6.62425503736638
1966,bin.2753,83.76068376068376,1.9425019425019423
1968,bin.2732,80.07412838057999,8.687683284457478
1970,bin.274,85.34696406443618,0.14456836018174307
1971,bin.2710,97.14285714285714,5.174603174603175
1974,bin.2767,72.78383668903804,1.537522879804759
1976,bin.2722,95.05772005772006,5.453514739229025
1980,bin.2765,90.14423076923077,3.9481351981351978
1982,bin.2761,96.51006711409397,2.7614653243847873
1983,bin.278,84.9067599067599,1.1655011655011653
1985,bin.2754,95.23809523809524,4.1269841269841265
1992,bin.2771,82.72058823529413,6.37052341597796
1998,bin.2778,91.0337552742616,2.742616033755274
2001,bin.2784,92.25806451612904,1.881720430107527
2004,bin.2780,87.68469267139481,2.925531914893617
2007,bin.2795,78.88359788359789,2.0634920634920633
2008,bin.275,93.39622641509433,0.9433962264150944
2014,bin.2787,80.04054809843402,2.4482662192393736
2015,bin.2752,99.40119760479043,1.6966067864271457
2026,bin.2793,94.92464539007092,1.7375886524822697
2032,bin.2791,75.9950248756219,1.123172018694407
2036,bin.2809,70.07377926732765,3.754480286738351
2040,bin.2799,90.5354267310789,2.730618817575339
2043,bin.2825,81.48148148148148,4.368471035137701
2044,bin.2800,92.48520710059172,4.487179487179486
2045,bin.282,87.02116402116403,2.9629629629629632
2046,bin.2805,79.36241610738254,3.2489322757779133
